"","X","Tag.ID","HoursFromConcRounded","MinCorr","Temp","concDate","minsFromConcRounded","DT","altMinsFrom","Tag.ID_167DB5CB","HoursFromConcRounded_167DB5CB","MinCorr_167DB5CB","Temp_167DB5CB","concDate_167DB5CB","minsFromConcRounded_167DB5CB","DT_167DB5CB","Tag.ID_167DC76A","HoursFromConcRounded_167DC76A","MinCorr_167DC76A","Temp_167DC76A","concDate_167DC76A","minsFromConcRounded_167DC76A","DT_167DC76A","Tag.ID_16804A25","HoursFromConcRounded_16804A25","MinCorr_16804A25","Temp_16804A25","concDate_16804A25","minsFromConcRounded_16804A25","DT_16804A25","Tag.ID_167F8B96","HoursFromConcRounded_167F8B96","MinCorr_167F8B96","Temp_167F8B96","concDate_167F8B96","minsFromConcRounded_167F8B96","DT_167F8B96","Tag.ID_167DAA18","HoursFromConcRounded_167DAA18","MinCorr_167DAA18","Temp_167DAA18","concDate_167DAA18","minsFromConcRounded_167DAA18","DT_167DAA18","Tag.ID_167DBF7D","HoursFromConcRounded_167DBF7D","MinCorr_167DBF7D","Temp_167DBF7D","concDate_167DBF7D","minsFromConcRounded_167DBF7D","DT_167DBF7D","Tag.ID_2653D43A","HoursFromConcRounded_2653D43A","MinCorr_2653D43A","Temp_2653D43A","concDate_2653D43A","minsFromConcRounded_2653D43A","DT_2653D43A","Tag.ID_167E7AB1","HoursFromConcRounded_167E7AB1","MinCorr_167E7AB1","Temp_167E7AB1","concDate_167E7AB1","minsFromConcRounded_167E7AB1","DT_167E7AB1","N","avgTemp","SD","SE","lowCI","highCI"
"11",11,"167DD2DA",-80,20,36.1,"2023-01-31",-4779,"2023-01-27 16:21:54",-4780,"167DB5CB",-80,20,36.9,"2023-03-06",-4780,"2023-03-02 16:20:20","167DC76A",-80,20,36,"2023-03-04",-4780,"2023-02-28 16:20:04","16804A25",-80,20,36.2,"2023-03-04",-4780,"2023-02-28 16:20:06","167F8B96",-80,20,36.6,"2023-03-04",-4780,"2023-02-28 16:20:10","167DAA18",-80,20,36.1,"2023-03-05",-4780,"2023-03-01 16:20:52","167DBF7D",-80,20,36.5,"2023-03-06",-4780,"2023-03-02 16:20:32","2653D43A",-80,20,36.1,"2023-02-01",-4779,"2023-01-28 16:21:07","167E7AB1",-80,20,37.8,"2023-02-15",-4779,"2023-02-11 16:21:42",9,36.4777777777778,0.578311719096581,0.192770573032194,35.3500699255395,37.6054856300161
"12",12,"167DD2DA",-80,40,36,"2023-01-31",-4759,"2023-01-27 16:41:37",-4760,"167DB5CB",-80,40,36.3,"2023-03-06",-4760,"2023-03-02 16:40:26","167DC76A",-80,40,36,"2023-03-04",-4760,"2023-02-28 16:40:50","16804A25",-80,40,36.2,"2023-03-04",-4760,"2023-02-28 16:40:52","167F8B96",-80,40,36.6,"2023-03-04",-4760,"2023-02-28 16:40:57","167DAA18",-80,40,36.2,"2023-03-05",-4760,"2023-03-01 16:40:15","167DBF7D",-80,40,36.4,"2023-03-06",-4760,"2023-03-02 16:40:38","2653D43A",-80,40,36.2,"2023-02-01",-4755,"2023-01-28 16:45:47","167E7AB1",-80,40,37.7,"2023-02-15",-4759,"2023-02-11 16:41:16",9,36.4,0.522015325445528,0.174005108481843,35.3820701153812,37.4179298846188
"13",13,"167DD2DA",-79,0,36.4,"2023-01-31",-4740,"2023-01-27 17:00:52",-4740,"167DB5CB",-79,0,36.2,"2023-03-06",-4740,"2023-03-02 17:00:26","167DC76A",-79,0,36,"2023-03-04",-4740,"2023-02-28 17:00:46","16804A25",-79,0,36.8,"2023-03-04",-4738,"2023-02-28 17:02:09","167F8B96",-79,0,36.5,"2023-03-04",-4740,"2023-02-28 17:00:52","167DAA18",-79,0,36.5,"2023-03-05",-4740,"2023-03-01 17:00:13","167DBF7D",-79,0,36.3,"2023-03-06",-4740,"2023-03-02 17:00:55","2653D43A",-79,0,36.2,"2023-02-01",-4739,"2023-01-28 17:01:36","167E7AB1",-79,0,37.3,"2023-02-15",-4739,"2023-02-11 17:01:27",9,36.4666666666667,0.38729833462074,0.12909944487358,35.7114349141562,37.2218984191771
"14",14,"167DD2DA",-79,20,36.2,"2023-01-31",-4719,"2023-01-27 17:21:18",-4720,"167DB5CB",-79,20,36.1,"2023-03-06",-4720,"2023-03-02 17:20:05","167DC76A",-79,20,36,"2023-03-04",-4720,"2023-02-28 17:20:19","16804A25",-79,20,36.8,"2023-03-04",-4719,"2023-02-28 17:21:39","167F8B96",-79,20,36.6,"2023-03-04",-4720,"2023-02-28 17:20:25","167DAA18",-79,20,36.3,"2023-03-05",-4720,"2023-03-01 17:20:59","167DBF7D",-79,20,36.5,"2023-03-06",-4720,"2023-03-02 17:20:25","2653D43A",-79,20,36.4,"2023-02-01",-4719,"2023-01-28 17:21:05","167E7AB1",-79,20,37.3,"2023-02-15",-4720,"2023-02-11 17:20:46",9,36.4666666666667,0.399999999999999,0.133333333333333,35.6866666666667,37.2466666666667
"15",15,"167DD2DA",-79,40,36.6,"2023-01-31",-4697,"2023-01-27 17:43:17",-4700,"167DB5CB",-79,40,36.3,"2023-03-06",-4699,"2023-03-02 17:41:20","167DC76A",-79,40,36,"2023-03-04",-4700,"2023-02-28 17:40:04","16804A25",-79,40,36.8,"2023-03-04",-4700,"2023-02-28 17:40:06","167F8B96",-79,40,36.4,"2023-03-04",-4700,"2023-02-28 17:40:18","167DAA18",-79,40,36.4,"2023-03-05",-4700,"2023-03-01 17:40:38","167DBF7D",-79,40,36.6,"2023-03-06",-4700,"2023-03-02 17:40:21","2653D43A",-79,40,36.6,"2023-02-01",-4699,"2023-01-28 17:41:12","167E7AB1",-79,40,36.8,"2023-02-15",-4697,"2023-02-11 17:43:22",9,36.5,0.254950975679639,0.0849836585598797,36.0028455974247,36.9971544025753
"16",16,"167DD2DA",-78,0,36.9,"2023-01-31",-4680,"2023-01-27 18:00:26",-4680,"167DB5CB",-78,0,36.5,"2023-03-06",-4676,"2023-03-02 18:04:59","167DC76A",-78,0,36,"2023-03-04",-4680,"2023-02-28 18:00:41","16804A25",-78,0,37,"2023-03-04",-4680,"2023-02-28 18:00:43","167F8B96",-78,0,36.4,"2023-03-04",-4680,"2023-02-28 18:00:55","167DAA18",-78,0,36.2,"2023-03-05",-4680,"2023-03-01 18:00:32","167DBF7D",-78,0,36.5,"2023-03-06",-4680,"2023-03-02 18:00:11","2653D43A",-78,0,36.9,"2023-02-01",-4679,"2023-01-28 18:01:31","167E7AB1",-78,0,36.3,"2023-02-15",-4679,"2023-02-11 18:01:43",9,36.5222222222222,0.345607355888795,0.115202451962932,35.8482878782391,37.1961565662054
"17",17,"167DD2DA",-78,20,37.2,"2023-01-31",-4660,"2023-01-27 18:20:32",-4660,"167DB5CB",-78,20,37.3,"2023-03-06",-4656,"2023-03-02 18:24:14","167DC76A",-78,20,36.1,"2023-03-04",-4660,"2023-02-28 18:20:38","16804A25",-78,20,37.1,"2023-03-04",-4660,"2023-02-28 18:20:39","167F8B96",-78,20,36.7,"2023-03-04",-4660,"2023-02-28 18:20:52","167DAA18",-78,20,36.1,"2023-03-05",-4660,"2023-03-01 18:20:37","167DBF7D",-78,20,36.4,"2023-03-06",-4660,"2023-03-02 18:20:22","2653D43A",-78,20,37.5,"2023-02-01",-4659,"2023-01-28 18:21:43","167E7AB1",-78,20,36.3,"2023-02-15",-4660,"2023-02-11 18:20:56",9,36.7444444444444,0.54339467956337,0.181131559854457,35.6848248192959,37.804064069593
"18",18,"167DD2DA",-78,40,37.4,"2023-01-31",-4635,"2023-01-27 18:45:18",-4640,"167DB5CB",-78,40,36.2,"2023-03-06",-4640,"2023-03-02 18:40:17","167DC76A",-78,40,36.2,"2023-03-04",-4640,"2023-02-28 18:40:54","16804A25",-78,40,37.9,"2023-03-04",-4640,"2023-02-28 18:40:56","167F8B96",-78,40,37,"2023-03-04",-4639,"2023-02-28 18:41:01","167DAA18",-78,40,36.6,"2023-03-05",-4639,"2023-03-01 18:41:24","167DBF7D",-78,40,36.5,"2023-03-06",-4640,"2023-03-02 18:40:46","2653D43A",-78,40,38.5,"2023-02-01",-4639,"2023-01-28 18:41:27","167E7AB1",-78,40,36.5,"2023-02-15",-4636,"2023-02-11 18:44:49",9,36.9777777777778,0.802772971919485,0.267590990639828,35.4123704825348,38.5431850730208
"19",19,"167DD2DA",-77,0,36.7,"2023-01-31",-4620,"2023-01-27 19:00:02",-4620,"167DB5CB",-77,0,36.1,"2023-03-06",-4619,"2023-03-02 19:01:45","167DC76A",-77,0,36.3,"2023-03-04",-4620,"2023-02-28 19:00:23","16804A25",-77,0,37.1,"2023-03-04",-4604,"2023-02-28 19:16:06","167F8B96",-77,0,38.3,"2023-03-04",-4620,"2023-02-28 19:00:38","167DAA18",-77,0,36.3,"2023-03-05",-4620,"2023-03-01 19:00:02","167DBF7D",-77,0,36.5,"2023-03-06",-4620,"2023-03-02 19:00:08","2653D43A",-77,0,38.4,"2023-02-01",-4619,"2023-01-28 19:01:26","167E7AB1",-77,0,36.5,"2023-02-15",-4618,"2023-02-11 19:02:31",9,36.9111111111111,0.863777234656662,0.287925744885554,35.2267455035306,38.5954767186916
"20",20,"167DD2DA",-77,20,36.7,"2023-01-31",-4599,"2023-01-27 19:21:40",-4600,"167DB5CB",-77,20,36.1,"2023-03-06",-4600,"2023-03-02 19:20:05","167DC76A",-77,20,36.3,"2023-03-04",-4600,"2023-02-28 19:20:36","16804A25",-77,20,36.8,"2023-03-04",-4599,"2023-02-28 19:21:46","167F8B96",-77,20,38.5,"2023-03-04",-4600,"2023-02-28 19:20:50","167DAA18",-77,20,36.2,"2023-03-05",-4598,"2023-03-01 19:22:36","167DBF7D",-77,20,36.2,"2023-03-06",-4600,"2023-03-02 19:20:20","2653D43A",-77,20,38.1,"2023-02-01",-4600,"2023-01-28 19:20:16","167E7AB1",-77,20,36.6,"2023-02-15",-4599,"2023-02-11 19:21:03",9,36.8333333333333,0.871779788708134,0.290593262902711,35.1333627453525,38.5333039213142
