"","X","Tag.ID","HoursFromConcRounded","MinCorr","Temp","concDate","minsFromConcRounded","DT","altMinsFrom","Tag.ID_167DB5CB","HoursFromConcRounded_167DB5CB","MinCorr_167DB5CB","Temp_167DB5CB","concDate_167DB5CB","minsFromConcRounded_167DB5CB","DT_167DB5CB","Tag.ID_167DC76A","HoursFromConcRounded_167DC76A","MinCorr_167DC76A","Temp_167DC76A","concDate_167DC76A","minsFromConcRounded_167DC76A","DT_167DC76A","Tag.ID_16804A25","HoursFromConcRounded_16804A25","MinCorr_16804A25","Temp_16804A25","concDate_16804A25","minsFromConcRounded_16804A25","DT_16804A25","Tag.ID_167F8B96","HoursFromConcRounded_167F8B96","MinCorr_167F8B96","Temp_167F8B96","concDate_167F8B96","minsFromConcRounded_167F8B96","DT_167F8B96","Tag.ID_167DAA18","HoursFromConcRounded_167DAA18","MinCorr_167DAA18","Temp_167DAA18","concDate_167DAA18","minsFromConcRounded_167DAA18","DT_167DAA18","Tag.ID_167DBF7D","HoursFromConcRounded_167DBF7D","MinCorr_167DBF7D","Temp_167DBF7D","concDate_167DBF7D","minsFromConcRounded_167DBF7D","DT_167DBF7D","Tag.ID_2653D43A","HoursFromConcRounded_2653D43A","MinCorr_2653D43A","Temp_2653D43A","concDate_2653D43A","minsFromConcRounded_2653D43A","DT_2653D43A","Tag.ID_167E7AB1","HoursFromConcRounded_167E7AB1","MinCorr_167E7AB1","Temp_167E7AB1","concDate_167E7AB1","minsFromConcRounded_167E7AB1","DT_167E7AB1","N","avgTemp","SD","SE","lowCI","highCI"
"617",617,"167DD2DA",122,20,37.8,"2023-01-31",7344,"2023-02-05 02:24:13",7340,"167DB5CB",122,20,37.1,"2023-03-06",7340,"2023-03-11 02:20:29","167DC76A",122,20,37.9,"2023-03-04",7341,"2023-03-09 02:21:42","16804A25",122,20,37.5,"2023-03-04",7340,"2023-03-09 02:20:27","167F8B96",122,20,38.8,"2023-03-04",7340,"2023-03-09 02:20:32","167DAA18",122,20,37.8,"2023-03-05",7340,"2023-03-10 02:20:47","167DBF7D",122,20,38.3,"2023-03-06",7340,"2023-03-11 02:20:50","2653D43A",122,20,38.1,"2023-02-01",7341,"2023-02-06 02:21:15","167E7AB1",122,20,36.7,"2023-02-15",7341,"2023-02-20 02:21:53",9,37.7777777777778,0.626054665699763,0.208684888566588,36.5569711796632,38.9985843758923
"618",618,"167DD2DA",122,40,37.9,"2023-01-31",7360,"2023-02-05 02:40:09",7360,"167DB5CB",122,40,36.9,"2023-03-06",7361,"2023-03-11 02:41:53","167DC76A",122,40,38.1,"2023-03-04",7360,"2023-03-09 02:40:57","16804A25",122,40,37.4,"2023-03-04",7362,"2023-03-09 02:42:13","167F8B96",122,40,38.9,"2023-03-04",7361,"2023-03-09 02:41:11","167DAA18",122,40,37.9,"2023-03-05",7361,"2023-03-10 02:41:15","167DBF7D",122,40,38.4,"2023-03-06",7361,"2023-03-11 02:41:05","2653D43A",122,40,38.1,"2023-02-01",7363,"2023-02-06 02:43:48","167E7AB1",122,40,36.7,"2023-02-15",7363,"2023-02-20 02:43:20",9,37.8111111111111,0.702574630278599,0.2341915434262,36.4410905820678,39.1811316401544
"619",619,"167DD2DA",123,0,37.8,"2023-01-31",7388,"2023-02-05 03:08:45",7380,"167DB5CB",123,0,36.9,"2023-03-06",7380,"2023-03-11 03:00:08","167DC76A",123,0,38.2,"2023-03-04",7380,"2023-03-09 03:00:27","16804A25",123,0,37.3,"2023-03-04",7380,"2023-03-09 03:00:30","167F8B96",123,0,38.7,"2023-03-04",7380,"2023-03-09 03:00:34","167DAA18",123,0,38.1,"2023-03-05",7380,"2023-03-10 03:00:42","167DBF7D",123,0,38.1,"2023-03-06",7380,"2023-03-11 03:00:29","2653D43A",123,0,38.2,"2023-02-01",7380,"2023-02-06 03:00:32","167E7AB1",123,0,36.8,"2023-02-15",7381,"2023-02-20 03:01:38",9,37.7888888888889,0.648930744464395,0.216310248154798,36.5234739371833,39.0543038405945
"620",620,"167DD2DA",123,20,37.7,"2023-01-31",7400,"2023-02-05 03:20:07",7400,"167DB5CB",123,20,37.2,"2023-03-06",7406,"2023-03-11 03:26:57","167DC76A",123,20,38,"2023-03-04",7400,"2023-03-09 03:20:41","16804A25",123,20,37.5,"2023-03-04",7400,"2023-03-09 03:20:43","167F8B96",123,20,38.6,"2023-03-04",7400,"2023-03-09 03:20:47","167DAA18",123,20,38.6,"2023-03-05",7402,"2023-03-10 03:22:03","167DBF7D",123,20,38.1,"2023-03-06",7400,"2023-03-11 03:20:31","2653D43A",123,20,38.3,"2023-02-01",7401,"2023-02-06 03:21:58","167E7AB1",123,20,36.8,"2023-02-15",7405,"2023-02-20 03:25:26",9,37.8666666666667,0.620483682299543,0.206827894099848,36.6567234861826,39.0766098471508
"621",621,"167DD2DA",123,40,37.9,"2023-01-31",7420,"2023-02-05 03:40:48",7420,"167DB5CB",123,40,37,"2023-03-06",7420,"2023-03-11 03:40:24","167DC76A",123,40,38.7,"2023-03-04",7421,"2023-03-09 03:41:06","16804A25",123,40,37.3,"2023-03-04",7420,"2023-03-09 03:40:00","167F8B96",123,40,38.9,"2023-03-04",7420,"2023-03-09 03:40:05","167DAA18",123,40,38.8,"2023-03-05",7420,"2023-03-10 03:40:21","167DBF7D",123,40,38.1,"2023-03-06",7420,"2023-03-11 03:40:44","2653D43A",123,40,38.2,"2023-02-01",7420,"2023-02-06 03:40:30","167E7AB1",123,40,36.9,"2023-02-15",7424,"2023-02-20 03:44:08",9,37.9777777777778,0.766122995637414,0.255374331879138,36.4838379362848,39.4717176192707
"622",622,"167DD2DA",124,0,38,"2023-01-31",7442,"2023-02-05 04:02:13",7440,"167DB5CB",124,0,37.1,"2023-03-06",7440,"2023-03-11 04:00:33","167DC76A",124,0,38.2,"2023-03-04",7440,"2023-03-09 04:00:49","16804A25",124,0,37.2,"2023-03-04",7440,"2023-03-09 04:00:51","167F8B96",124,0,39,"2023-03-04",7440,"2023-03-09 04:00:55","167DAA18",124,0,38.3,"2023-03-05",7442,"2023-03-10 04:02:12","167DBF7D",124,0,38.4,"2023-03-06",7440,"2023-03-11 04:00:56","2653D43A",124,0,38.3,"2023-02-01",7441,"2023-02-06 04:01:11","167E7AB1",124,0,37.2,"2023-02-15",7445,"2023-02-20 04:05:03",9,37.9666666666667,0.657647321898294,0.219215773966098,36.684254388965,39.2490789443683
"623",623,"167DD2DA",124,20,37.7,"2023-01-31",7460,"2023-02-05 04:20:04",7460,"167DB5CB",124,20,36.8,"2023-03-06",7460,"2023-03-11 04:20:22","167DC76A",124,20,38.2,"2023-03-04",7460,"2023-03-09 04:20:05","16804A25",124,20,37.3,"2023-03-04",7460,"2023-03-09 04:20:07","167F8B96",124,20,38.9,"2023-03-04",7460,"2023-03-09 04:20:11","167DAA18",124,20,38.2,"2023-03-05",7460,"2023-03-10 04:20:48","167DBF7D",124,20,38.3,"2023-03-06",7460,"2023-03-11 04:20:42","2653D43A",124,20,38.3,"2023-02-01",7461,"2023-02-06 04:21:07","167E7AB1",124,20,37.2,"2023-02-15",7460,"2023-02-20 04:20:27",9,37.8777777777778,0.670406178703959,0.223468726234653,36.5704857293051,39.1850698262505
"624",624,"167DD2DA",124,40,37.7,"2023-01-31",7482,"2023-02-05 04:42:29",7480,"167DB5CB",124,40,36.9,"2023-03-06",7480,"2023-03-11 04:40:45","167DC76A",124,40,38.4,"2023-03-04",7480,"2023-03-09 04:40:27","16804A25",124,40,37.5,"2023-03-04",7480,"2023-03-09 04:40:29","167F8B96",124,40,38.7,"2023-03-04",7480,"2023-03-09 04:40:36","167DAA18",124,40,38.8,"2023-03-05",7480,"2023-03-10 04:40:24","167DBF7D",124,40,38.3,"2023-03-06",7480,"2023-03-11 04:40:57","2653D43A",124,40,38.3,"2023-02-01",7481,"2023-02-06 04:41:13","167E7AB1",124,40,37.3,"2023-02-15",7486,"2023-02-20 04:46:13",9,37.9888888888889,0.662277216210184,0.220759072070061,36.697448317279,39.2803294604987
"625",625,"167DD2DA",125,0,37,"2023-01-31",7500,"2023-02-05 05:00:46",7500,"167DB5CB",125,0,37,"2023-03-06",7500,"2023-03-11 05:00:39","167DC76A",125,0,38.6,"2023-03-04",7500,"2023-03-09 05:00:44","16804A25",125,0,37.5,"2023-03-04",7500,"2023-03-09 05:00:47","167F8B96",125,0,39,"2023-03-04",7500,"2023-03-09 05:00:54","167DAA18",125,0,38.5,"2023-03-05",7500,"2023-03-10 05:00:43","167DBF7D",125,0,38.3,"2023-03-06",7500,"2023-03-11 05:00:59","2653D43A",125,0,38.2,"2023-02-01",7501,"2023-02-06 05:01:00","167E7AB1",125,0,37.5,"2023-02-15",7501,"2023-02-20 05:01:44",9,37.9555555555556,0.726483157256779,0.242161052418926,36.5389133989048,39.3721977122063
"626",626,"167DD2DA",125,20,36.9,"2023-01-31",7521,"2023-02-05 05:21:10",7520,"167DB5CB",125,20,37.1,"2023-03-06",7525,"2023-03-11 05:25:30","167DC76A",125,20,38.4,"2023-03-04",7521,"2023-03-09 05:21:07","16804A25",125,20,37.8,"2023-03-04",7521,"2023-03-09 05:21:10","167F8B96",125,20,38.4,"2023-03-04",7521,"2023-03-09 05:21:15","167DAA18",125,20,38.8,"2023-03-05",7520,"2023-03-10 05:20:48","167DBF7D",125,20,37.9,"2023-03-06",7520,"2023-03-11 05:20:44","2653D43A",125,20,38,"2023-02-01",7521,"2023-02-06 05:21:06","167E7AB1",125,20,37.1,"2023-02-15",7525,"2023-02-20 05:25:38",9,37.8222222222222,0.666666666666666,0.222222222222222,36.5222222222222,39.1222222222222
"627",627,"167DD2DA",125,40,37,"2023-01-31",7548,"2023-02-05 05:48:05",7540,"167DB5CB",125,40,37.1,"2023-03-06",7540,"2023-03-11 05:40:23","167DC76A",125,40,37.5,"2023-03-04",7540,"2023-03-09 05:40:37","16804A25",125,40,37.1,"2023-03-04",7540,"2023-03-09 05:40:41","167F8B96",125,40,38.5,"2023-03-04",7540,"2023-03-09 05:40:45","167DAA18",125,40,38.4,"2023-03-05",7540,"2023-03-10 05:40:02","167DBF7D",125,40,37.8,"2023-03-06",7540,"2023-03-11 05:40:34","2653D43A",125,40,38,"2023-02-01",7541,"2023-02-06 05:41:44","167E7AB1",125,40,36.7,"2023-02-15",7544,"2023-02-20 05:44:05",9,37.5666666666667,0.644204936336255,0.214734978778752,36.310467040811,38.8228662925224
"628",628,"167DD2DA",126,0,36.7,"2023-01-31",7566,"2023-02-05 06:06:50",7560,"167DB5CB",126,0,36.7,"2023-03-06",7560,"2023-03-11 06:00:50","167DC76A",126,0,36.5,"2023-03-04",7560,"2023-03-09 06:00:15","16804A25",126,0,36.5,"2023-03-04",7560,"2023-03-09 06:00:17","167F8B96",126,0,37.5,"2023-03-04",7560,"2023-03-09 06:00:30","167DAA18",126,0,37.2,"2023-03-05",7560,"2023-03-10 06:00:01","167DBF7D",126,0,37.5,"2023-03-06",7561,"2023-03-11 06:01:05","2653D43A",126,0,38.1,"2023-02-01",7560,"2023-02-06 06:00:43","167E7AB1",126,0,36.8,"2023-02-15",7562,"2023-02-20 06:02:40",9,37.0555555555556,0.552519481808359,0.184173160602786,35.9781425660293,38.1329685450819
"629",629,"167DD2DA",126,20,36.5,"2023-01-31",7581,"2023-02-05 06:21:12",7580,"167DB5CB",126,20,36.4,"2023-03-06",7581,"2023-03-11 06:21:15","167DC76A",126,20,36.4,"2023-03-04",7580,"2023-03-09 06:20:07","16804A25",126,20,36.6,"2023-03-04",7581,"2023-03-09 06:21:41","167F8B96",126,20,36.9,"2023-03-04",7580,"2023-03-09 06:20:22","167DAA18",126,20,36.8,"2023-03-05",7580,"2023-03-10 06:20:57","167DBF7D",126,20,37.3,"2023-03-06",7580,"2023-03-11 06:20:22","2653D43A",126,20,38.1,"2023-02-01",7580,"2023-02-06 06:20:17","167E7AB1",126,20,36.4,"2023-02-15",7580,"2023-02-20 06:20:35",9,36.8222222222222,0.565194165260439,0.188398055086813,35.7200935999644,37.9243508444801
"630",630,"167DD2DA",126,40,36.4,"2023-01-31",7601,"2023-02-05 06:41:02",7600,"167DB5CB",126,40,36.2,"2023-03-06",7600,"2023-03-11 06:40:51","167DC76A",126,40,36.3,"2023-03-04",7601,"2023-03-09 06:41:31","16804A25",126,40,36.5,"2023-03-04",7601,"2023-03-09 06:41:33","167F8B96",126,40,36.9,"2023-03-04",7600,"2023-03-09 06:40:03","167DAA18",126,40,36.9,"2023-03-05",7600,"2023-03-10 06:40:14","167DBF7D",126,40,37.1,"2023-03-06",7601,"2023-03-11 06:41:02","2653D43A",126,40,37.9,"2023-02-01",7600,"2023-02-06 06:40:57","167E7AB1",126,40,36.6,"2023-02-15",7601,"2023-02-20 06:41:15",9,36.7555555555556,0.524669207956573,0.174889735985524,35.7324506000402,37.7786605110709
"631",631,"167DD2DA",127,0,36.5,"2023-01-31",7621,"2023-02-05 07:01:21",7620,"167DB5CB",127,0,36.4,"2023-03-06",7621,"2023-03-11 07:01:11","167DC76A",127,0,36.1,"2023-03-04",7620,"2023-03-09 07:00:41","16804A25",127,0,36.6,"2023-03-04",7620,"2023-03-09 07:00:43","167F8B96",127,0,36.9,"2023-03-04",7620,"2023-03-09 07:00:55","167DAA18",127,0,36.8,"2023-03-05",7620,"2023-03-10 07:00:02","167DBF7D",127,0,37.1,"2023-03-06",7620,"2023-03-11 07:00:05","2653D43A",127,0,37.4,"2023-02-01",7622,"2023-02-06 07:02:21","167E7AB1",127,0,36.9,"2023-02-15",7622,"2023-02-20 07:02:33",9,36.7444444444444,0.390867979985285,0.130289326661762,35.9822518834731,37.5066370054158
"632",632,"167DD2DA",127,20,36.5,"2023-01-31",7640,"2023-02-05 07:20:30",7640,"167DB5CB",127,20,36.5,"2023-03-06",7641,"2023-03-11 07:21:13","167DC76A",127,20,36.1,"2023-03-04",7641,"2023-03-09 07:21:15","16804A25",127,20,36.4,"2023-03-04",7641,"2023-03-09 07:21:17","167F8B96",127,20,36.9,"2023-03-04",7640,"2023-03-09 07:20:02","167DAA18",127,20,36.7,"2023-03-05",7640,"2023-03-10 07:20:14","167DBF7D",127,20,37.3,"2023-03-06",7642,"2023-03-11 07:22:51","2653D43A",127,20,37.1,"2023-02-01",7640,"2023-02-06 07:20:41","167E7AB1",127,20,37.2,"2023-02-15",7644,"2023-02-20 07:24:03",9,36.7444444444444,0.406543697255015,0.135514565751672,35.9516842347972,37.5372046540917
"633",633,"167DD2DA",127,40,36.5,"2023-01-31",7660,"2023-02-05 07:40:53",7660,"167DB5CB",127,40,36.5,"2023-03-06",7660,"2023-03-11 07:40:18","167DC76A",127,40,36.1,"2023-03-04",7661,"2023-03-09 07:41:22","16804A25",127,40,36.3,"2023-03-04",7661,"2023-03-09 07:41:24","167F8B96",127,40,36.8,"2023-03-04",7660,"2023-03-09 07:40:07","167DAA18",127,40,36.8,"2023-03-05",7660,"2023-03-10 07:40:33","167DBF7D",127,40,37,"2023-03-06",7660,"2023-03-11 07:40:30","2653D43A",127,40,37,"2023-02-01",7661,"2023-02-06 07:41:16","167E7AB1",127,40,36.9,"2023-02-15",7660,"2023-02-20 07:40:44",9,36.6555555555556,0.320589734361189,0.106863244787063,36.0304055735512,37.2807055375599
"634",634,"167DD2DA",128,0,36.6,"2023-01-31",7682,"2023-02-05 08:02:04",7680,"167DB5CB",128,0,36.7,"2023-03-06",7680,"2023-03-11 08:00:33","167DC76A",128,0,36.5,"2023-03-04",7680,"2023-03-09 08:00:53","16804A25",128,0,36.3,"2023-03-04",7680,"2023-03-09 08:00:55","167F8B96",128,0,36.8,"2023-03-04",7684,"2023-03-09 08:04:34","167DAA18",128,0,36.7,"2023-03-05",7681,"2023-03-10 08:01:22","167DBF7D",128,0,36.9,"2023-03-06",7680,"2023-03-11 08:00:45","2653D43A",128,0,37,"2023-02-01",7680,"2023-02-06 08:00:40","167E7AB1",128,0,37.2,"2023-02-15",7682,"2023-02-20 08:02:23",9,36.7444444444444,0.269773567603978,0.0899245225346594,36.2183859876167,37.2705029012722
"635",635,"167DD2DA",128,20,36.3,"2023-01-31",7700,"2023-02-05 08:20:27",7700,"167DB5CB",128,20,36.8,"2023-03-06",7700,"2023-03-11 08:20:24","167DC76A",128,20,36.4,"2023-03-04",7700,"2023-03-09 08:20:16","16804A25",128,20,36.4,"2023-03-04",7700,"2023-03-09 08:20:18","167F8B96",128,20,37,"2023-03-04",7703,"2023-03-09 08:23:11","167DAA18",128,20,36.6,"2023-03-05",7701,"2023-03-10 08:21:21","167DBF7D",128,20,36.9,"2023-03-06",7700,"2023-03-11 08:20:36","2653D43A",128,20,36.8,"2023-02-01",7700,"2023-02-06 08:20:59","167E7AB1",128,20,37.1,"2023-02-15",7700,"2023-02-20 08:20:55",9,36.7,0.287228132326902,0.0957427107756341,36.1399051419625,37.2600948580375
"636",636,"167DD2DA",128,40,36.3,"2023-01-31",7720,"2023-02-05 08:40:29",7720,"167DB5CB",128,40,36.5,"2023-03-06",7721,"2023-03-11 08:41:08","167DC76A",128,40,36.5,"2023-03-04",7720,"2023-03-09 08:40:59","16804A25",128,40,36.5,"2023-03-04",7721,"2023-03-09 08:41:01","167F8B96",128,40,37.4,"2023-03-04",7721,"2023-03-09 08:41:05","167DAA18",128,40,36.8,"2023-03-05",7720,"2023-03-10 08:40:44","167DBF7D",128,40,37.3,"2023-03-06",7721,"2023-03-11 08:41:20","2653D43A",128,40,36.9,"2023-02-01",7720,"2023-02-06 08:40:09","167E7AB1",128,40,37.6,"2023-02-15",7722,"2023-02-20 08:42:03",9,36.8666666666667,0.466368952654441,0.15545631755148,35.9572472089905,37.7760861243428
"637",637,"167DD2DA",129,0,36.4,"2023-01-31",7741,"2023-02-05 09:01:24",7740,"167DB5CB",129,0,36.6,"2023-03-06",7740,"2023-03-11 09:00:18","167DC76A",129,0,37.4,"2023-03-04",7740,"2023-03-09 09:00:00","16804A25",129,0,38.3,"2023-03-04",7740,"2023-03-09 09:00:04","167F8B96",129,0,37.5,"2023-03-04",7741,"2023-03-09 09:01:20","167DAA18",129,0,36.9,"2023-03-05",7741,"2023-03-10 09:01:19","167DBF7D",129,0,37.2,"2023-03-06",7740,"2023-03-11 09:00:29","2653D43A",129,0,36.9,"2023-02-01",7741,"2023-02-06 09:01:02","167E7AB1",129,0,37.1,"2023-02-15",7740,"2023-02-20 09:00:27",9,37.1444444444444,0.559265391185417,0.186421797061806,36.0538769316329,38.235011957256
"638",638,"167DD2DA",129,20,36.6,"2023-01-31",7760,"2023-02-05 09:20:42",7760,"167DB5CB",129,20,36.5,"2023-03-06",7763,"2023-03-11 09:23:07","167DC76A",129,20,36.7,"2023-03-04",7760,"2023-03-09 09:20:16","16804A25",129,20,37.7,"2023-03-04",7760,"2023-03-09 09:20:18","167F8B96",129,20,37.2,"2023-03-04",7760,"2023-03-09 09:20:23","167DAA18",129,20,36.9,"2023-03-05",7761,"2023-03-10 09:21:18","167DBF7D",129,20,37,"2023-03-06",7760,"2023-03-11 09:20:37","2653D43A",129,20,37,"2023-02-01",7760,"2023-02-06 09:20:26","167E7AB1",129,20,37.1,"2023-02-15",7761,"2023-02-20 09:21:30",9,36.9666666666667,0.3605551275464,0.120185042515467,36.2635841679512,37.6697491653822
"639",639,"167DD2DA",129,40,36.8,"2023-01-31",7782,"2023-02-05 09:42:48",7780,"167DB5CB",129,40,36.5,"2023-03-06",7780,"2023-03-11 09:40:38","167DC76A",129,40,36.6,"2023-03-04",7780,"2023-03-09 09:40:24","16804A25",129,40,37.4,"2023-03-04",7780,"2023-03-09 09:40:26","167F8B96",129,40,37.5,"2023-03-04",7780,"2023-03-09 09:40:30","167DAA18",129,40,37.1,"2023-03-05",7780,"2023-03-10 09:40:17","167DBF7D",129,40,36.9,"2023-03-06",7780,"2023-03-11 09:40:58","2653D43A",129,40,36.9,"2023-02-01",7789,"2023-02-06 09:49:57","167E7AB1",129,40,36.8,"2023-02-15",7780,"2023-02-20 09:40:06",9,36.9444444444444,0.335824027993498,0.111941342664499,36.2895875898571,37.5993012990318
"640",640,"167DD2DA",130,0,36.7,"2023-01-31",7803,"2023-02-05 10:03:25",7800,"167DB5CB",130,0,36.6,"2023-03-06",7805,"2023-03-11 10:05:57","167DC76A",130,0,36.3,"2023-03-04",7801,"2023-03-09 10:01:18","16804A25",130,0,36.2,"2023-03-04",7806,"2023-03-09 10:06:24","167F8B96",130,0,37,"2023-03-04",7801,"2023-03-09 10:01:33","167DAA18",130,0,37.3,"2023-03-05",7801,"2023-03-10 10:01:13","167DBF7D",130,0,37.4,"2023-03-06",7800,"2023-03-11 10:00:13","2653D43A",130,0,36.9,"2023-02-01",7801,"2023-02-06 10:01:50","167E7AB1",130,0,36.8,"2023-02-15",7812,"2023-02-20 10:12:18",9,36.8,0.406201920231797,0.135400640077266,36.007906255548,37.592093744452
"641",641,"167DD2DA",130,20,36.1,"2023-01-31",7820,"2023-02-05 10:20:24",7820,"167DB5CB",130,20,36.6,"2023-03-06",7824,"2023-03-11 10:24:55","167DC76A",130,20,37.1,"2023-03-04",7820,"2023-03-09 10:20:28","16804A25",130,20,36.7,"2023-03-04",7825,"2023-03-09 10:25:33","167F8B96",130,20,37.1,"2023-03-04",7827,"2023-03-09 10:27:02","167DAA18",130,20,36.7,"2023-03-05",7820,"2023-03-10 10:20:02","167DBF7D",130,20,37.2,"2023-03-06",7820,"2023-03-11 10:20:57","2653D43A",130,20,37.1,"2023-02-01",7821,"2023-02-06 10:21:16","167E7AB1",130,20,36.6,"2023-02-15",7820,"2023-02-20 10:20:28",9,36.8,0.357071421427143,0.119023807142381,36.1037107282171,37.4962892717829
"642",642,"167DD2DA",130,40,36.3,"2023-01-31",7841,"2023-02-05 10:41:39",7840,"167DB5CB",130,40,36.6,"2023-03-06",7840,"2023-03-11 10:40:54","167DC76A",130,40,36.8,"2023-03-04",7840,"2023-03-09 10:40:29","16804A25",130,40,37.1,"2023-03-04",7841,"2023-03-09 10:41:50","167F8B96",130,40,37,"2023-03-04",7840,"2023-03-09 10:40:36","167DAA18",130,40,36.9,"2023-03-05",7841,"2023-03-10 10:41:14","167DBF7D",130,40,37.4,"2023-03-06",7844,"2023-03-11 10:44:03","2653D43A",130,40,37,"2023-02-01",7840,"2023-02-06 10:40:47","167E7AB1",130,40,36.6,"2023-02-15",7849,"2023-02-20 10:49:27",9,36.8555555555556,0.324465372232197,0.108155124077399,36.2228480797028,37.4882630314083
"643",643,"167DD2DA",131,0,36.2,"2023-01-31",7861,"2023-02-05 11:01:45",7860,"167DB5CB",131,0,36.6,"2023-03-06",7860,"2023-03-11 11:00:51","167DC76A",131,0,36.6,"2023-03-04",7860,"2023-03-09 11:00:02","16804A25",131,0,36.6,"2023-03-04",7860,"2023-03-09 11:00:04","167F8B96",131,0,37.2,"2023-03-04",7860,"2023-03-09 11:00:08","167DAA18",131,0,37,"2023-03-05",7860,"2023-03-10 11:00:38","167DBF7D",131,0,37.4,"2023-03-06",7860,"2023-03-11 11:00:00","2653D43A",131,0,37,"2023-02-01",7860,"2023-02-06 11:00:36","167E7AB1",131,0,36.7,"2023-02-15",7868,"2023-02-20 11:08:52",9,36.8111111111111,0.36893239368631,0.122977464562103,36.0916929434228,37.5305292787994
"644",644,"167DD2DA",131,20,36.3,"2023-01-31",7881,"2023-02-05 11:21:25",7880,"167DB5CB",131,20,37.3,"2023-03-06",7880,"2023-03-11 11:20:02","167DC76A",131,20,36.6,"2023-03-04",7880,"2023-03-09 11:20:44","16804A25",131,20,36.4,"2023-03-04",7880,"2023-03-09 11:20:46","167F8B96",131,20,37.4,"2023-03-04",7880,"2023-03-09 11:20:50","167DAA18",131,20,37.1,"2023-03-05",7880,"2023-03-10 11:20:21","167DBF7D",131,20,37.3,"2023-03-06",7880,"2023-03-11 11:20:15","2653D43A",131,20,36.8,"2023-02-01",7881,"2023-02-06 11:21:58","167E7AB1",131,20,37.2,"2023-02-15",7887,"2023-02-20 11:27:44",9,36.9333333333333,0.418330013267038,0.139443337755679,36.1175898074626,37.7490768592041
"645",645,"167DD2DA",131,40,36.4,"2023-01-31",7900,"2023-02-05 11:40:06",7900,"167DB5CB",131,40,37.1,"2023-03-06",7900,"2023-03-11 11:40:38","167DC76A",131,40,36.5,"2023-03-04",7900,"2023-03-09 11:40:05","16804A25",131,40,36.1,"2023-03-04",7901,"2023-03-09 11:41:40","167F8B96",131,40,37.2,"2023-03-04",7900,"2023-03-09 11:40:20","167DAA18",131,40,36.8,"2023-03-05",7900,"2023-03-10 11:40:57","167DBF7D",131,40,37.3,"2023-03-06",7900,"2023-03-11 11:40:51","2653D43A",131,40,36.9,"2023-02-01",7900,"2023-02-06 11:40:39","167E7AB1",131,40,36.9,"2023-02-15",7909,"2023-02-20 11:49:50",9,36.8,0.396862696659688,0.132287565553229,36.0261177415136,37.5738822584864
"646",646,"167DD2DA",132,0,36.2,"2023-01-31",7920,"2023-02-05 12:00:37",7920,"167DB5CB",132,0,36.8,"2023-03-06",7920,"2023-03-11 12:00:24","167DC76A",132,0,36.5,"2023-03-04",7920,"2023-03-09 12:00:27","16804A25",132,0,36.6,"2023-03-04",7920,"2023-03-09 12:00:29","167F8B96",132,0,37.4,"2023-03-04",7920,"2023-03-09 12:00:33","167DAA18",132,0,36.8,"2023-03-05",7921,"2023-03-10 12:01:36","167DBF7D",132,0,37.1,"2023-03-06",7930,"2023-03-11 12:10:04","2653D43A",132,0,36.8,"2023-02-01",7921,"2023-02-06 12:01:24","167E7AB1",132,0,37,"2023-02-15",7920,"2023-02-20 12:00:23",9,36.8,0.349999999999999,0.116666666666666,36.1175,37.4825
"647",647,"167DD2DA",132,20,36.2,"2023-01-31",7941,"2023-02-05 12:21:18",7940,"167DB5CB",132,20,37.1,"2023-03-06",7941,"2023-03-11 12:21:04","167DC76A",132,20,37.3,"2023-03-04",7941,"2023-03-09 12:21:19","16804A25",132,20,36.6,"2023-03-04",7941,"2023-03-09 12:21:21","167F8B96",132,20,37.1,"2023-03-04",7941,"2023-03-09 12:21:25","167DAA18",132,20,37,"2023-03-05",7940,"2023-03-10 12:20:57","167DBF7D",132,20,37.1,"2023-03-06",7940,"2023-03-11 12:20:06","2653D43A",132,20,36.8,"2023-02-01",7941,"2023-02-06 12:21:05","167E7AB1",132,20,37.7,"2023-02-15",7941,"2023-02-20 12:21:59",9,36.9888888888889,0.425571511160123,0.141857170386708,36.1590244421266,37.8187533356511
"648",648,"167DD2DA",132,40,36.5,"2023-01-31",7960,"2023-02-05 12:40:31",7960,"167DB5CB",132,40,37.2,"2023-03-06",7960,"2023-03-11 12:40:24","167DC76A",132,40,37.2,"2023-03-04",7960,"2023-03-09 12:40:43","16804A25",132,40,36.9,"2023-03-04",7960,"2023-03-09 12:40:45","167F8B96",132,40,37.1,"2023-03-04",7960,"2023-03-09 12:40:58","167DAA18",132,40,37.1,"2023-03-05",7963,"2023-03-10 12:43:26","167DBF7D",132,40,37.2,"2023-03-06",7960,"2023-03-11 12:40:37","2653D43A",132,40,36.9,"2023-02-01",7961,"2023-02-06 12:41:36",NA,NA,NA,NA,NA,NA,NA,8,37.0125,0.241646140343391,0.0854348122421839,36.5412900263304,37.4837099736696
